countyfips,countyname,voted_all,reg_all,pct_voted_all,voted_gender_male,reg_gender_male,pct_voted_gender_male,voted_gender_female,reg_gender_female,pct_voted_gender_female,voted_gender_unknown,reg_gender_unknown,pct_voted_gender_unknown,voted_age_18_19,reg_age_18_19,pct_voted_age_18_19,voted_age_20_24,reg_age_20_24,pct_voted_age_20_24,voted_age_25_29,reg_age_25_29,pct_voted_age_25_29,voted_age_30_34,reg_age_30_34,pct_voted_age_30_34,voted_age_35_44,reg_age_35_44,pct_voted_age_35_44,voted_age_45_54,reg_age_45_54,pct_voted_age_45_54,voted_age_55_64,reg_age_55_64,pct_voted_age_55_64,voted_age_65_74,reg_age_65_74,pct_voted_age_65_74,voted_age_75_84,reg_age_75_84,pct_voted_age_75_84,voted_age_85over,reg_age_85over,pct_voted_age_85over,voted_party_democratic,reg_party_democratic,pct_voted_party_democratic,voted_party_republican,reg_party_republican,pct_voted_party_republican,voted_party_ind_npp,reg_party_ind_npp,pct_voted_party_ind_npp,voted_party_others,reg_party_others,pct_voted_party_others,voted_eur,reg_eur,pct_voted_eur,voted_hisp,reg_hisp,pct_voted_hisp,voted_aa,reg_aa,pct_voted_aa,voted_esa,reg_esa,pct_voted_esa,voted_oth,reg_oth,pct_voted_oth,voted_unk,reg_unk,pct_voted_unk,voted_self_afam,reg_self_afam,pct_voted_self_afam,voted_eur_party_democratic,reg_eur_party_democratic,pct_voted_eur_party_democratic,voted_eur_party_republican,reg_eur_party_republican,pct_voted_eur_party_republican,voted_eur_party_ind_npp,reg_eur_party_ind_npp,pct_voted_eur_party_ind_npp,voted_eur_party_others,reg_eur_party_others,pct_voted_eur_party_others,voted_hisp_party_democratic,reg_hisp_party_democratic,pct_voted_hisp_party_democratic,voted_hisp_party_republican,reg_hisp_party_republican,pct_voted_hisp_party_republican,voted_hisp_party_ind_npp,reg_hisp_party_ind_npp,pct_voted_hisp_party_ind_npp,voted_hisp_party_others,reg_hisp_party_others,pct_voted_hisp_party_others,voted_aa_party_democratic,reg_aa_party_democratic,pct_voted_aa_party_democratic,voted_aa_party_republican,reg_aa_party_republican,pct_voted_aa_party_republican,voted_aa_party_ind_npp,reg_aa_party_ind_npp,pct_voted_aa_party_ind_npp,voted_aa_party_others,reg_aa_party_others,pct_voted_aa_party_others,voted_esa_party_democratic,reg_esa_party_democratic,pct_voted_esa_party_democratic,voted_esa_party_republican,reg_esa_party_republican,pct_voted_esa_party_republican,voted_esa_party_ind_npp,reg_esa_party_ind_npp,pct_voted_esa_party_ind_npp,voted_esa_party_others,reg_esa_party_others,pct_voted_esa_party_others,voted_oth_party_democratic,reg_oth_party_democratic,pct_voted_oth_party_democratic,voted_oth_party_republican,reg_oth_party_republican,pct_voted_oth_party_republican,voted_oth_party_ind_npp,reg_oth_party_ind_npp,pct_voted_oth_party_ind_npp,voted_oth_party_others,reg_oth_party_others,pct_voted_oth_party_others,voted_unk_party_democratic,reg_unk_party_democratic,pct_voted_unk_party_democratic,voted_unk_party_republican,reg_unk_party_republican,pct_voted_unk_party_republican,voted_unk_party_ind_npp,reg_unk_party_ind_npp,pct_voted_unk_party_ind_npp,voted_unk_party_others,reg_unk_party_others,pct_voted_unk_party_others,voted_self_afam_party_democratic,reg_self_afam_party_democratic,pct_voted_self_afam_party_democratic,voted_self_afam_party_republican,reg_self_afam_party_republican,pct_voted_self_afam_party_republican,voted_self_afam_party_ind_npp,reg_self_afam_party_ind_npp,pct_voted_self_afam_party_ind_npp,voted_self_afam_party_others,reg_self_afam_party_others,pct_voted_self_afam_party_others
1001,AUTAUGA,28054,42772,0.6559,12464,19766,0.6306,15585,22996,0.6777,5,10,0.5,274,424,0.6462,1642,3284,0.5,1643,3508,0.4684,1839,3723,0.494,4370,7322,0.5968,4840,6932,0.6982,5412,7212,0.7504,4611,5818,0.7925,2667,3388,0.7872,754,1148,0.6568,6286,10909,0.5762,20472,28667,0.7141,1296,3196,0.4055,0,0,,20212,29294,0.69,499,955,0.5225,5070,9026,0.5617,212,403,0.5261,144,260,0.5538,1917,2834,0.6764,5025,8939,0.5621,1199,1832,0.6545,18317,25841,0.7088,696,1621,0.4294,0,0,,92,155,0.5935,243,346,0.7023,164,454,0.3612,0,0,,4827,8661,0.5573,222,304,0.7303,21,61,0.3443,0,0,,25,36,0.6944,106,141,0.7518,81,226,0.3584,0,0,,15,29,0.5172,93,138,0.6739,36,93,0.3871,0,0,,128,196,0.6531,1491,1897,0.786,298,741,0.4022,0,0,,4807,8622,0.5575,208,284,0.7324,10,33,0.303,0,0,
1003,BALDWIN,121453,190475,0.6376,55065,89317,0.6165,66386,101154,0.6563,2,4,0.5,982,1767,0.5557,5195,12117,0.4287,5583,13752,0.406,6338,13580,0.4667,15591,27875,0.5593,18625,28801,0.6467,23256,32503,0.7155,25445,32645,0.7794,16401,21043,0.7794,4010,6321,0.6344,17993,33762,0.5329,98415,144617,0.6805,5045,12096,0.4171,0,0,,99154,150240,0.66,3166,6255,0.5062,6082,13822,0.44,849,1533,0.5538,1216,1946,0.6249,10986,16679,0.6587,6043,13726,0.4403,8133,11748,0.6923,88298,131420,0.6719,2723,7072,0.385,0,0,,1934,4744,0.4077,1222,1500,0.8147,10,11,0.9091,0,0,,5726,13316,0.43,349,487,0.7166,7,19,0.3684,0,0,,432,1036,0.417,414,494,0.8381,3,3,1.0,0,0,,596,1180,0.5051,620,765,0.8105,0,1,0.0,0,0,,1172,1738,0.6743,7512,9951,0.7549,2302,4990,0.4613,0,0,,5695,13236,0.4303,341,471,0.724,7,19,0.3684,0,0,
1005,BARBOUR,9745,16407,0.594,4164,7532,0.5528,5579,8868,0.6291,2,7,0.2857,75,149,0.5034,439,1040,0.4221,438,1176,0.3724,453,1150,0.3939,1089,2379,0.4578,1332,2298,0.5796,1973,2884,0.6841,2182,2832,0.7705,1428,1892,0.7548,336,590,0.5695,4426,8860,0.4995,5154,7154,0.7204,165,393,0.4198,0,0,,5444,7689,0.708,106,274,0.3869,3744,7744,0.4835,39,72,0.5417,24,50,0.48,388,578,0.6713,3710,7649,0.485,595,809,0.7355,4736,6609,0.7166,113,271,0.417,0,0,,73,232,0.3147,33,42,0.7857,0,0,,0,0,,3681,7661,0.4805,63,83,0.759,0,0,,0,0,,22,49,0.449,17,23,0.7391,0,0,,0,0,,11,35,0.3143,13,15,0.8667,0,0,,0,0,,44,74,0.5946,292,382,0.7644,52,122,0.4262,0,0,,3651,7571,0.4822,59,78,0.7564,0,0,,0,0,
1007,BIBB,9183,14579,0.6299,4213,6959,0.6054,4970,7620,0.6522,0,0,,70,120,0.5833,565,1044,0.5412,644,1341,0.4802,603,1281,0.4707,1212,2175,0.5572,1531,2353,0.6507,1819,2563,0.7097,1551,2055,0.7547,925,1220,0.7582,262,426,0.615,1501,3137,0.4785,7338,10597,0.6925,344,845,0.4071,0,0,,7225,10838,0.6666,87,166,0.5241,1229,2616,0.4698,23,38,0.6053,27,40,0.675,592,881,0.672,1218,2597,0.469,263,439,0.5991,6722,9800,0.6859,240,599,0.4007,0,0,,54,127,0.4252,33,39,0.8462,0,0,,0,0,,1138,2479,0.4591,89,129,0.6899,2,8,0.25,0,0,,6,18,0.3333,17,20,0.85,0,0,,0,0,,12,24,0.5,15,16,0.9375,0,0,,0,0,,28,50,0.56,462,593,0.7791,102,238,0.4286,0,0,,1129,2462,0.4586,87,127,0.685,2,8,0.25,0,0,
1009,BLOUNT,27999,42343,0.6612,13083,20471,0.6391,14916,21872,0.682,0,0,,311,622,0.5,1743,3279,0.5316,1839,3551,0.5179,1829,3392,0.5392,3938,6480,0.6077,4472,6550,0.6827,5299,7165,0.7396,4948,6311,0.784,2946,3853,0.7646,670,1127,0.5945,2374,4943,0.4803,24486,34797,0.7037,1139,2603,0.4376,0,0,,24693,36234,0.6815,881,2200,0.4005,325,773,0.4204,136,214,0.6355,144,228,0.6316,1820,2694,0.6756,324,769,0.4213,1207,1908,0.6326,22641,32409,0.6986,845,1917,0.4408,0,0,,655,1906,0.3437,226,291,0.7766,0,3,0.0,0,0,,290,714,0.4062,35,59,0.5932,0,0,,0,0,,67,131,0.5115,69,83,0.8313,0,0,,0,0,,48,111,0.4324,96,117,0.8205,0,0,,0,0,,107,173,0.6185,1419,1838,0.772,294,683,0.4305,0,0,,289,710,0.407,35,59,0.5932,0,0,,0,0,
1011,BULLOCK,4014,6850,0.586,1610,3171,0.5077,2401,3676,0.6532,3,3,1.0,25,66,0.3788,187,465,0.4022,217,524,0.4141,241,563,0.4281,478,1052,0.4544,596,1010,0.5901,738,1104,0.6685,915,1207,0.7581,484,637,0.7598,133,221,0.6018,3224,5592,0.5765,744,1120,0.6643,46,138,0.3333,0,0,,999,1423,0.702,22,87,0.2529,2905,5208,0.5578,5,11,0.4545,13,22,0.5909,70,99,0.7071,2892,5180,0.5583,308,374,0.8235,669,1010,0.6624,22,39,0.5641,0,0,,2,9,0.2222,6,15,0.4,14,63,0.2222,0,0,,2887,5174,0.558,18,26,0.6923,0,8,0.0,0,0,,1,2,0.5,1,1,1.0,3,8,0.375,0,0,,6,8,0.75,7,10,0.7,0,4,0.0,0,0,,20,25,0.8,43,58,0.7414,7,16,0.4375,0,0,,2877,5160,0.5576,15,20,0.75,0,0,,0,0,
1013,BUTLER,7945,13677,0.5809,3368,6230,0.5406,4577,7445,0.6148,0,2,0.0,57,99,0.5758,347,874,0.397,383,1075,0.3563,384,1008,0.381,1030,2106,0.4891,1265,2169,0.5832,1514,2245,0.6744,1696,2300,0.7374,964,1311,0.7353,305,483,0.6315,3221,6671,0.4828,4595,6679,0.688,129,327,0.3945,0,0,,4591,6883,0.667,57,100,0.57,2942,6149,0.4785,39,62,0.629,24,36,0.6667,292,447,0.6532,2918,6102,0.4782,250,432,0.5787,4250,6219,0.6834,91,232,0.3922,0,0,,33,70,0.4714,23,29,0.7931,1,1,1.0,0,0,,2878,6058,0.4751,64,90,0.7111,0,1,0.0,0,0,,25,47,0.5319,14,15,0.9333,0,0,,0,0,,11,20,0.55,13,16,0.8125,0,0,,0,0,,24,44,0.5455,231,310,0.7452,37,93,0.3978,0,0,,2862,6020,0.4754,56,81,0.6914,0,1,0.0,0,0,
1015,CALHOUN,48156,79396,0.6065,21364,36701,0.5821,26788,42676,0.6277,4,19,0.2105,416,667,0.6237,2768,5725,0.4835,2748,6855,0.4009,2791,6603,0.4227,6470,12456,0.5194,7435,12193,0.6098,9020,12918,0.6983,9508,12396,0.767,5551,7239,0.7668,1442,2319,0.6218,11466,22938,0.4999,34884,51745,0.6742,1806,4713,0.3832,0,0,,35689,55016,0.6487,992,2145,0.4625,8204,16788,0.4887,279,606,0.4604,249,496,0.502,2743,4345,0.6313,8109,16527,0.4907,2692,4267,0.6309,31705,47390,0.669,1292,3359,0.3846,0,0,,621,1693,0.3668,369,444,0.8311,2,8,0.25,0,0,,7620,15778,0.483,562,958,0.5866,22,52,0.4231,0,0,,140,430,0.3256,136,173,0.7861,3,3,1.0,0,0,,122,338,0.3609,126,156,0.8077,1,2,0.5,0,0,,271,432,0.6273,1986,2624,0.7569,486,1289,0.377,0,0,,7536,15535,0.4851,551,941,0.5855,22,51,0.4314,0,0,
1017,CHAMBERS,13506,24850,0.5435,5880,11478,0.5123,7625,13365,0.5705,1,7,0.1429,79,176,0.4489,666,1563,0.4261,755,1990,0.3794,781,2053,0.3804,1564,3615,0.4326,2046,3811,0.5369,2712,4290,0.6322,2778,4049,0.6861,1695,2455,0.6904,427,806,0.5298,4319,10483,0.412,8816,13392,0.6583,371,975,0.3805,0,0,,8317,13365,0.6223,136,338,0.4024,4439,10069,0.4409,46,125,0.368,36,72,0.5,532,881,0.6039,4395,9959,0.4413,417,891,0.468,7635,11779,0.6482,265,695,0.3813,0,0,,75,259,0.2896,61,78,0.7821,0,1,0.0,0,0,,3755,9133,0.4111,683,933,0.732,1,3,0.3333,0,0,,28,101,0.2772,18,22,0.8182,0,2,0.0,0,0,,16,44,0.3636,20,27,0.7407,0,1,0.0,0,0,,28,55,0.5091,399,553,0.7215,105,273,0.3846,0,0,,3725,9042,0.412,669,914,0.7319,1,3,0.3333,0,0,
1019,CHEROKEE,12367,19998,0.6184,5833,9601,0.6075,6534,10397,0.6285,0,0,,92,149,0.6174,554,1256,0.4411,663,1463,0.4532,667,1357,0.4915,1333,2458,0.5423,1849,2950,0.6268,2577,3722,0.6924,2657,3639,0.7301,1590,2319,0.6856,385,683,0.5637,1251,2495,0.5014,8608,11221,0.7671,2508,6282,0.3992,0,0,,10970,17439,0.629,104,243,0.428,368,840,0.4381,50,92,0.5435,61,100,0.61,814,1284,0.634,368,836,0.4402,745,1328,0.561,7901,10292,0.7677,2324,5819,0.3994,0,0,,63,189,0.3333,41,54,0.7593,0,0,,0,0,,333,774,0.4302,35,65,0.5385,0,1,0.0,0,0,,16,47,0.3404,34,45,0.7556,0,0,,0,0,,27,55,0.4909,34,45,0.7556,0,0,,0,0,,67,102,0.6569,563,720,0.7819,184,462,0.3983,0,0,,333,771,0.4319,35,64,0.5469,0,1,0.0,0,0,
1021,CHILTON,19537,30422,0.6422,8875,14284,0.6213,10662,16137,0.6607,0,1,0.0,171,276,0.6196,1204,2347,0.513,1264,2692,0.4695,1245,2430,0.5123,2739,4671,0.5864,3140,4807,0.6532,3734,5160,0.7236,3562,4569,0.7796,2020,2667,0.7574,455,793,0.5738,2440,5197,0.4695,16255,23241,0.6994,842,1984,0.4244,0,0,,16353,24298,0.673,389,1065,0.3653,1519,3103,0.4895,75,133,0.5639,71,114,0.6228,1130,1709,0.6612,1513,3087,0.4901,709,1230,0.5764,14994,21546,0.6959,650,1522,0.4271,0,0,,285,921,0.3094,103,143,0.7203,1,1,1.0,0,0,,1327,2803,0.4734,192,294,0.6531,0,6,0.0,0,0,,28,73,0.3836,46,59,0.7797,1,1,1.0,0,0,,28,61,0.459,43,53,0.8113,0,0,,0,0,,63,109,0.578,877,1146,0.7653,190,454,0.4185,0,0,,1323,2791,0.474,190,291,0.6529,0,5,0.0,0,0,
1023,CHOCTAW,6526,10136,0.6438,2876,4747,0.6059,3650,5389,0.6773,0,0,,59,87,0.6782,366,662,0.5529,325,735,0.4422,322,756,0.4259,734,1427,0.5144,930,1542,0.6031,1325,1781,0.744,1369,1718,0.7969,840,1055,0.7962,256,367,0.6975,2923,5233,0.5586,3482,4607,0.7558,121,296,0.4088,0,0,,3884,5286,0.7348,29,53,0.5472,2382,4456,0.5346,15,19,0.7895,7,16,0.4375,209,306,0.683,2373,4432,0.5354,535,760,0.7039,3244,4302,0.7541,105,224,0.4688,0,0,,6,11,0.5455,18,28,0.6429,5,14,0.3571,0,0,,2348,4404,0.5332,34,48,0.7083,0,4,0.0,0,0,,1,1,1.0,14,17,0.8235,0,1,0.0,0,0,,1,4,0.25,6,10,0.6,0,2,0.0,0,0,,32,53,0.6038,166,202,0.8218,11,51,0.2157,0,0,,2342,4388,0.5337,31,44,0.7045,0,0,,0,0,
1025,CLARKE,11848,18286,0.6479,5130,8466,0.606,6714,9814,0.6841,4,6,0.6667,96,215,0.4465,595,1306,0.4556,659,1551,0.4249,673,1485,0.4532,1474,2652,0.5558,1900,2845,0.6678,2374,3098,0.7663,2271,2789,0.8143,1393,1705,0.817,413,635,0.6504,4878,8791,0.5549,6726,8894,0.7562,244,601,0.406,0,0,,6626,9004,0.7359,56,110,0.5091,4733,8497,0.557,25,59,0.4237,41,79,0.519,367,537,0.6834,4700,8444,0.5566,253,451,0.561,6211,8202,0.7573,162,351,0.4615,0,0,,3,9,0.3333,34,44,0.7727,19,57,0.3333,0,0,,4596,8283,0.5549,132,200,0.66,5,14,0.3571,0,0,,1,3,0.3333,17,25,0.68,7,31,0.2258,0,0,,2,5,0.4,36,49,0.7347,3,25,0.12,0,0,,23,40,0.575,296,374,0.7914,48,123,0.3902,0,0,,4580,8256,0.5547,120,186,0.6452,0,2,0.0,0,0,
1027,CLAY,6630,10103,0.6562,3124,4819,0.6483,3506,5283,0.6636,0,1,0.0,48,81,0.5926,334,622,0.537,401,794,0.505,355,704,0.5043,779,1410,0.5525,1075,1606,0.6694,1340,1854,0.7228,1266,1631,0.7762,795,1051,0.7564,236,346,0.6821,810,1882,0.4304,5654,7797,0.7252,166,424,0.3915,0,0,,5453,7854,0.6943,81,179,0.4525,637,1396,0.4563,27,44,0.6136,22,40,0.55,410,590,0.6949,634,1388,0.4568,171,384,0.4453,5156,7170,0.7191,126,300,0.42,0,0,,34,123,0.2764,47,56,0.8393,0,0,,0,0,,563,1288,0.4371,74,99,0.7475,0,9,0.0,0,0,,9,22,0.4091,18,22,0.8182,0,0,,0,0,,6,18,0.3333,16,22,0.7273,0,0,,0,0,,27,47,0.5745,343,428,0.8014,40,115,0.3478,0,0,,561,1282,0.4376,73,97,0.7526,0,9,0.0,0,0,
1029,CLEBURNE,7588,11457,0.6623,3603,5538,0.6506,3985,5919,0.6733,0,0,,70,101,0.6931,437,800,0.5462,448,900,0.4978,461,847,0.5443,1079,1712,0.6303,1203,1759,0.6839,1517,2127,0.7132,1369,1790,0.7648,812,1063,0.7639,192,350,0.5486,466,941,0.4952,6838,9794,0.6982,284,722,0.3934,0,0,,6721,9991,0.6727,97,187,0.5187,154,314,0.4904,27,45,0.6,22,42,0.5238,567,878,0.6458,153,312,0.4904,235,436,0.539,6291,9057,0.6946,195,498,0.3916,0,0,,58,137,0.4234,39,48,0.8125,0,2,0.0,0,0,,123,268,0.459,31,45,0.6889,0,1,0.0,0,0,,11,25,0.44,16,20,0.8,0,0,,0,0,,5,17,0.2941,17,25,0.68,0,0,,0,0,,34,58,0.5862,444,599,0.7412,89,221,0.4027,0,0,,123,267,0.4607,30,44,0.6818,0,1,0.0,0,0,
1031,COFFEE,22054,36134,0.6103,10092,16934,0.596,11961,19197,0.6231,1,3,0.3333,221,370,0.5973,1114,2471,0.4508,1152,2955,0.3898,1138,2793,0.4074,3212,5972,0.5378,3848,6022,0.639,4127,5873,0.7027,4009,5250,0.7636,2502,3291,0.7603,728,1127,0.646,3579,7614,0.4701,17365,25148,0.6905,1110,3372,0.3292,0,0,,16623,25021,0.6644,863,2080,0.4149,2768,6104,0.4535,208,417,0.4988,202,330,0.6121,1390,2182,0.637,2733,6002,0.4553,833,1433,0.5813,15341,22371,0.6858,449,1217,0.3689,0,0,,100,211,0.4739,443,683,0.6486,320,1186,0.2698,0,0,,2524,5749,0.439,236,311,0.7588,8,44,0.1818,0,0,,16,35,0.4571,139,203,0.6847,53,179,0.2961,0,0,,20,30,0.6667,153,197,0.7766,29,103,0.2816,0,0,,86,156,0.5513,1053,1383,0.7614,251,643,0.3904,0,0,,2512,5717,0.4394,220,279,0.7885,1,6,0.1667,0,0,
1033,COLBERT,26948,42683,0.6314,12132,19757,0.6141,14812,22919,0.6463,4,7,0.5714,240,346,0.6936,1310,2703,0.4846,1645,3593,0.4578,1692,3428,0.4936,3771,6760,0.5578,3975,6233,0.6377,5255,7332,0.7167,5209,6769,0.7695,3004,4045,0.7426,844,1464,0.5765,6470,11716,0.5522,15885,19764,0.8037,4593,11203,0.41,0,0,,20673,31535,0.6556,411,870,0.4724,3737,7009,0.5332,161,276,0.5833,161,286,0.5629,1805,2707,0.6668,3702,6910,0.5357,2264,3545,0.6386,14199,17678,0.8032,4210,10312,0.4083,0,0,,285,708,0.4025,126,162,0.7778,0,0,,0,0,,3584,6798,0.5272,153,209,0.7321,0,2,0.0,0,0,,94,196,0.4796,67,80,0.8375,0,0,,0,0,,74,188,0.3936,87,98,0.8878,0,0,,0,0,,169,281,0.6014,1253,1537,0.8152,383,889,0.4308,0,0,,3559,6710,0.5304,143,198,0.7222,0,2,0.0,0,0,
1035,CONECUH,5463,9335,0.5852,2427,4398,0.5518,3036,4937,0.6149,0,0,,36,71,0.507,261,594,0.4394,247,675,0.3659,271,687,0.3945,590,1231,0.4793,810,1398,0.5794,1140,1704,0.669,1212,1665,0.7279,694,966,0.7184,200,336,0.5952,2614,5054,0.5172,2772,4077,0.6799,77,204,0.3775,0,0,,3018,4558,0.6621,42,92,0.4565,2155,4278,0.5037,10,27,0.3704,25,49,0.5102,213,331,0.6435,2139,4239,0.5046,420,670,0.6269,2546,3753,0.6784,52,135,0.3852,0,0,,18,60,0.3,24,32,0.75,0,0,,0,0,,2114,4212,0.5019,40,65,0.6154,1,1,1.0,0,0,,6,19,0.3158,4,8,0.5,0,0,,0,0,,10,29,0.3448,15,20,0.75,0,0,,0,0,,46,64,0.7188,143,199,0.7186,24,68,0.3529,0,0,,2103,4180,0.5031,35,58,0.6034,1,1,1.0,0,0,
1037,COOSA,5215,8032,0.6493,2446,3906,0.6262,2769,4126,0.6711,0,0,,34,68,0.5,195,430,0.4535,222,514,0.4319,243,545,0.4459,571,1068,0.5346,777,1218,0.6379,1144,1575,0.7263,1220,1536,0.7943,668,855,0.7813,140,221,0.6335,1324,2431,0.5446,3802,5324,0.7141,89,277,0.3213,0,0,,3634,5246,0.6927,48,89,0.5393,1243,2248,0.5529,13,22,0.5909,17,32,0.5313,260,395,0.6582,1233,2223,0.5547,140,231,0.6061,3431,4828,0.7106,63,187,0.3369,0,0,,14,47,0.2979,34,42,0.8095,0,0,,0,0,,1152,2105,0.5473,90,139,0.6475,1,4,0.25,0,0,,2,9,0.2222,11,13,0.8462,0,0,,0,0,,5,16,0.3125,12,16,0.75,0,0,,0,0,,11,23,0.4783,224,286,0.7832,25,86,0.2907,0,0,,1146,2085,0.5496,86,134,0.6418,1,4,0.25,0,0,
